"STATION","DATE","AWND","PRCP","SNOW","TAVG","TMAX","TMIN","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09"
"USW00014739","2015-10-15","8.72","0.00","0.0","54","62","47",,,,,,,,
"USW00014739","2015-10-16","11.86","0.00","0.0","55","61","50",,,,,,,,
"USW00014739","2015-10-17","11.86","0.00","0.0","51","56","40",,,,,,,,
"USW00014739","2015-10-18","11.41","0.00","0.0","41","47","33",,,,,,,,
"USW00014739","2015-10-19","10.74","0.00","0.0","38","48","31",,,,,,,,
"USW00014739","2015-10-20","11.63","0.00","0.0","53","66","45",,,,,,,,
"USW00014739","2015-10-21","6.26","0.07","0.0","58","61","53","    1",,,,,,,
"USW00014739","2015-10-22","10.96","0.00","0.0","60","73","52","    1","    1",,,,,,
"USW00014739","2015-10-23","13.42","0.00","0.0","54","59","40",,,,,,,,
"USW00014739","2015-10-24","5.82","0.00","0.0","43","49","38",,,,,,,,
"USW00014739","2015-10-25","11.63","0.03","0.0","54","63","48",,,,,,,,
"USW00014739","2015-10-26","8.50","0.00","0.0","49","52","43",,,,,,,,
"USW00014739","2015-10-27","5.82","0.00","0.0","46","54","38",,,,,,,,
"USW00014739","2015-10-28","17.00","0.36","0.0","49","65","42","    1",,,,,,,
"USW00014739","2015-10-29","17.00","0.73","0.0","67","75","57","    1",,,,,,,
"USW00014739","2015-10-30","12.97","0.00","0.0","56","61","42",,,,,,,,
"USW00014739","2015-10-31","6.93","0.00","0.0","45","52","38",,,,,,,,
"USW00014739","2015-11-01","10.74","0.00","0.0","53","62","48",,,,,,,,
"USW00014739","2015-11-02","7.16","0.00","0.0","57","64","51",,,,,,,,
"USW00014739","2015-11-03","7.61","0.00","0.0","57","73","47",,,,,,,,
"USW00014739","2015-11-04","6.71","0.00","0.0","57","60","49",,,,,,,,
"USW00014739","2015-11-05","11.86","0.00","0.0","61","76","50","    1",,,,,,,
"USW00014739","2015-11-06","14.54","0.00","0.0","67","73","62",,,,,,,"    1",
"USW00014739","2015-11-07","13.20","0.00","0.0","62","69","50",,,,,,,,
"USW00014739","2015-11-08","11.41","0.00","0.0","51","56","44",,,,,,,,
"USW00014739","2015-11-09","8.95","0.00","0.0","51","60","41",,,,,,,,
"USW00014739","2015-11-10","7.61","0.07","0.0","49","53","44","    1",,,,,,,
"USW00014739","2015-11-11","16.11","0.54","0.0","48","50","46","    1",,,,,,,
"USW00014739","2015-11-12","7.38","0.04","0.0","47","57","46","    1",,,,,,,
"USW00014739","2015-11-13","17.90","0.01","0.0","54","59","46",,,,,,,,
"USW00014739","2015-11-14","16.11","0.00","0.0","45","47","37",,,,,,,,
"USW00014739","2015-11-15","9.62","0.00","0.0","43","54","37",,,,,,,,
"USW00014739","2015-11-16","10.74","0.00","0.0","53","61","39",,,,,,,,
"USW00014739","2015-11-17","6.71","0.00","0.0","40","45","33",,,,,,,,
"USW00014739","2015-11-18","6.26","0.00","0.0","40","48","31",,,,,,,,
"USW00014739","2015-11-19","8.95","0.00","0.0","47","55","43",,,,,,,,
"USW00014739","2015-11-20","12.75","0.86","0.0","56","61","44","    1",,,,,,,
"USW00014739","2015-11-21","7.61","0.00","0.0","44","48","38",,,,,,,,
"USW00014739","2015-11-22","7.16","0.30","0.0","43","49","36","    1",,,,,,,
"USW00014739","2015-11-23","13.42","0.04","0.0","40","42","30",,,,,,,,
"USW00014739","2015-11-24","8.05","0.00","0.0","35","44","29",,,,,,,,
